<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEXTN;60;210128;150000;1341.3300000;1345.0300000;1340.6000000;1345.0300000;138566376
MOEXTN;60;210128;160000;1346.0500000;1354.5800000;1346.0500000;1353.8600000;1510039743
MOEXTN;60;210128;170000;1353.9600000;1355.7400000;1351.8100000;1353.6300000;317336179
MOEXTN;60;210128;180000;1353.4200000;1354.2200000;1349.5800000;1350.1800000;254057968
MOEXTN;60;210129;100000;1354.5800000;1360.0400000;1350.8000000;1359.5500000;246628166
MOEXTN;60;210129;110000;1359.7000000;1359.7000000;1352.8100000;1354.6300000;231916460
MOEXTN;60;210129;120000;1354.1900000;1356.1800000;1353.4600000;1353.8600000;88895842
MOEXTN;60;210129;130000;1353.8600000;1355.7900000;1352.6700000;1355.0900000;83484391
MOEXTN;60;210129;140000;1355.0900000;1359.2000000;1354.0900000;1358.8300000;64614310
MOEXTN;60;210129;150000;1358.8300000;1359.0300000;1354.4500000;1356.5600000;59958741
MOEXTN;60;210129;160000;1356.7400000;1356.7400000;1348.6000000;1351.6900000;162194749
MOEXTN;60;210129;170000;1351.8100000;1355.5600000;1350.7000000;1351.0900000;94585099
MOEXTN;60;210129;180000;1351.3100000;1352.2900000;1348.6800000;1350.4900000;182960834
MOEXTN;60;210201;100000;1352.2600000;1356.4200000;1349.3400000;1351.0600000;235469627
MOEXTN;60;210201;110000;1351.4000000;1351.4800000;1346.5100000;1349.9700000;126424469
MOEXTN;60;210201;120000;1349.9900000;1352.8800000;1349.0300000;1349.9500000;83509589
MOEXTN;60;210201;130000;1349.8000000;1350.8300000;1342.1000000;1344.1800000;134049632
MOEXTN;60;210201;140000;1344.1800000;1348.0500000;1343.5200000;1347.7100000;48231070
MOEXTN;60;210201;150000;1347.6800000;1349.8900000;1346.1800000;1349.8100000;36335256
MOEXTN;60;210201;160000;1349.8300000;1351.7600000;1347.9400000;1349.0000000;76613647
MOEXTN;60;210201;170000;1348.8500000;1349.2100000;1346.1300000;1346.5700000;96891099
MOEXTN;60;210201;180000;1346.3400000;1348.0000000;1345.8800000;1346.6900000;49747251
MOEXTN;60;210202;100000;1346.9500000;1356.6000000;1346.9500000;1352.7900000;221528419
MOEXTN;60;210202;110000;1352.7900000;1355.1600000;1351.3400000;1354.8500000;116145654
MOEXTN;60;210202;120000;1354.8800000;1354.9000000;1352.6400000;1353.9100000;54130417
MOEXTN;60;210202;130000;1353.5800000;1356.6000000;1353.3600000;1355.5300000;77017812
MOEXTN;60;210202;140000;1355.1500000;1355.5300000;1353.7900000;1354.5100000;70563656
MOEXTN;60;210202;150000;1354.5100000;1354.6200000;1352.5500000;1354.2800000;43802609
MOEXTN;60;210202;160000;1354.2800000;1355.2300000;1349.9600000;1352.2300000;122646494
MOEXTN;60;210202;170000;1352.5200000;1354.7300000;1351.9600000;1352.7600000;101415181
MOEXTN;60;210202;180000;1353.2600000;1354.8500000;1351.8700000;1354.8500000;56347232
MOEXTN;60;210203;100000;1350.1400000;1354.7900000;1347.5200000;1354.0900000;122123288
MOEXTN;60;210203;110000;1354.2300000;1357.0500000;1352.9900000;1353.6200000;135106228
MOEXTN;60;210203;120000;1353.1800000;1354.4100000;1351.0800000;1352.0400000;59780937
MOEXTN;60;210203;130000;1352.3700000;1352.3700000;1350.8900000;1351.2900000;47130000
MOEXTN;60;210203;140000;1351.2900000;1354.4800000;1351.1100000;1353.9600000;77769295
MOEXTN;60;210203;150000;1353.9100000;1355.1100000;1352.5900000;1353.2900000;84234644
MOEXTN;60;210203;160000;1353.1500000;1354.5200000;1351.1300000;1353.0100000;109956477
MOEXTN;60;210203;170000;1353.0100000;1353.1700000;1349.1000000;1351.3100000;188624519
MOEXTN;60;210203;180000;1351.3500000;1352.2100000;1349.0000000;1349.5600000;57263551
MOEXTN;60;210204;100000;1351.3500000;1355.1200000;1350.0700000;1354.2800000;216981444
MOEXTN;60;210204;110000;1354.4900000;1354.5200000;1350.1700000;1350.9800000;79851093
MOEXTN;60;210204;120000;1351.2700000;1351.3400000;1349.7900000;1350.4800000;40161059
MOEXTN;60;210204;130000;1350.4800000;1352.6400000;1349.3700000;1351.6100000;100210244
MOEXTN;60;210204;140000;1351.4700000;1351.6800000;1348.6300000;1349.4900000;62198385
MOEXTN;60;210204;150000;1349.6300000;1350.6800000;1348.9900000;1349.0500000;52809101
MOEXTN;60;210204;160000;1349.1300000;1349.4000000;1347.1600000;1349.3100000;79352946
MOEXTN;60;210204;170000;1349.3400000;1349.7600000;1346.5300000;1346.9100000;78848923
MOEXTN;60;210204;180000;1346.7700000;1349.1700000;1346.5300000;1346.9100000;67712423
MOEXTN;60;210205;100000;1348.6700000;1354.7100000;1348.6700000;1353.4700000;180029148
MOEXTN;60;210205;110000;1354.0700000;1354.0700000;1350.7500000;1352.6600000;73674252
MOEXTN;60;210205;120000;1352.9500000;1353.0700000;1350.0300000;1350.9300000;50010477
MOEXTN;60;210205;130000;1351.5500000;1353.7700000;1350.2300000;1352.7700000;170744674
MOEXTN;60;210205;140000;1352.6300000;1354.1000000;1351.4900000;1353.2400000;129657610
MOEXTN;60;210205;150000;1352.9000000;1353.2600000;1350.0100000;1350.8600000;55552925
MOEXTN;60;210205;160000;1351.1600000;1351.5800000;1349.8200000;1350.4500000;54292724
MOEXTN;60;210205;170000;1350.4700000;1351.9400000;1350.2100000;1351.5900000;62014893
MOEXTN;60;210205;180000;1351.5900000;1352.0600000;1348.6100000;1351.3900000;127227130
MOEXTN;60;210208;100000;1355.4200000;1361.9400000;1355.1400000;1361.2900000;464482074
MOEXTN;60;210208;110000;1361.4900000;1363.5700000;1358.1600000;1363.5400000;190621089
MOEXTN;60;210208;120000;1362.9200000;1363.6000000;1358.8600000;1359.2400000;152121489
MOEXTN;60;210208;130000;1359.2700000;1360.9600000;1358.5300000;1359.5700000;87457054
MOEXTN;60;210208;140000;1359.6500000;1360.4000000;1357.4200000;1358.6800000;85797284
MOEXTN;60;210208;150000;1358.8300000;1359.4200000;1357.1500000;1358.1900000;68945895
MOEXTN;60;210208;160000;1357.5600000;1359.5500000;1356.7500000;1358.4900000;107791966
MOEXTN;60;210208;170000;1358.6300000;1359.5600000;1357.2600000;1357.8300000;70237729
MOEXTN;60;210208;180000;1357.9800000;1360.4200000;1357.7600000;1360.4200000;191359791
MOEXTN;60;210209;100000;1362.0900000;1366.0900000;1360.3900000;1365.9200000;248518406
MOEXTN;60;210209;110000;1365.8100000;1365.9900000;1354.0600000;1355.1500000;281240466
MOEXTN;60;210209;120000;1355.5400000;1356.7200000;1352.3900000;1354.0400000;246143303
MOEXTN;60;210209;130000;1353.7400000;1355.0400000;1352.7600000;1354.0500000;113839857
MOEXTN;60;210209;140000;1354.1400000;1354.4100000;1352.4200000;1352.9600000;98641136
MOEXTN;60;210209;150000;1352.8200000;1353.3100000;1351.8100000;1352.4900000;85182872
MOEXTN;60;210209;160000;1352.4900000;1353.1900000;1350.7200000;1351.6500000;126853644
MOEXTN;60;210209;170000;1351.7700000;1352.8500000;1350.7800000;1351.3000000;104858249
MOEXTN;60;210209;180000;1351.1600000;1351.5900000;1349.1000000;1350.6100000;244929897
MOEXTN;60;210210;100000;1353.5500000;1357.9500000;1350.7400000;1350.7400000;175443267
MOEXTN;60;210210;110000;1351.3500000;1352.0200000;1345.6400000;1347.1700000;213937069
MOEXTN;60;210210;120000;1347.6900000;1347.7400000;1345.6900000;1347.3800000;168561738
MOEXTN;60;210210;130000;1347.7900000;1347.8400000;1344.2200000;1344.5200000;179680904
MOEXTN;60;210210;140000;1344.5200000;1345.0200000;1339.7300000;1341.0600000;337297416
